,team_by_entity,week,outcome,avg_score,count_neg,count_pos,count_neutral
0,49ers,1,win,0.0469512200755317,29,47,85
68,Broncos,1,win,0.23238095428262437,14,117,77
85,Browns,1,defeat,0.12812148590223324,125,359,386
102,Buccaneers,1,win,0.08444846329863637,87,178,281
119,Cardinals,1,win,0.193962266169629,20,119,122
136,Chargers,1,win,0.21390728642608944,13,75,63
153,Chiefs,1,win,0.12057416365620052,43,158,212
169,Colts,1,defeat,0.007352942217360525,30,40,65
186,Commanders,1,defeat,0.09927007430878869,20,49,67
203,Cowboys,1,defeat,0.07027194130940108,293,533,769
220,Dolphins,1,win,0.15637255036363415,15,81,107
237,Eagles,1,win,0.22225433743068937,26,188,128
254,Falcons,1,defeat,-0.039402985928663564,88,71,173
288,Jaguars,1,defeat,-0.06987951812614877,28,19,35
305,Jets,1,defeat,-0.013580246993298394,57,49,132
322,Lions,1,defeat,0.1054441269625907,50,129,163
339,Packers,1,defeat,-0.025813953457183614,108,87,231
356,Panthers,1,win,0.18392857410279767,10,50,50
373,Patriots,1,defeat,0.09054726491964872,25,72,98
390,Raiders,1,win,0.1517955815697408,83,288,345
407,Rams,1,win,0.2391304369576229,12,91,56
424,Ravens,1,defeat,0.026724138714630027,82,115,263
441,Saints,1,win,0.15904977523228703,46,189,202
458,Seahawks,1,win,0.21298701630590797,10,78,65
475,Steelers,1,win,0.16203090729434497,52,218,177
492,Texans,1,win,0.1449799214500979,28,98,121
509,Titans,1,defeat,-0.028782287591937725,73,70,127
526,Vikings,1,defeat,-0.019889503223461343,43,37,98
51,Bills,1,defeat,0.03846153927346071,59,91,159
34,Bengals,1,win,0.09513513679439957,21,60,102
271,Giants,1,defeat,-0.07510548537667794,71,37,128
17,Bears,1,defeat,-0.014718614712164,49,43,137
196,Commanders,2,win,0.08318584170577097,43,99,191
298,Jaguars,2,defeat,-0.03200000047683716,19,15,39
365,Panthers,2,win,0.2413194473160224,16,158,113
501,Texans,2,defeat,0.12378048960392068,12,54,96
451,Saints,2,defeat,0.04095238184645062,57,93,162
61,Bills,2,win,0.08895348943769932,20,60,92
146,Chargers,2,defeat,-0.03138297923067783,100,70,201
178,Colts,2,defeat,0.06639344422299354,18,34,68
